Day,Date,Time,Flag
Tuesday,24-Feb-48,6:15:36 PM,
Thursday,25-Mar-48,4:10:06 AM,
Friday,23-Apr-48,3:28:18 PM,[*]
Sunday,23-May-48,2:37:00 AM,
Monday,21-Jun-48,2:54:00 PM,
Wednesday,21-Jul-48,4:31:00 AM,
Thursday,19-Aug-48,7:31:42 PM,
Saturday,18-Sep-48,11:42:48 AM,
Monday,18-Oct-48,3:23:24 AM,[/]
Tuesday,16-Nov-48,7:31:24 PM,
Thursday,16-Dec-48,10:10:54 AM,
Friday,14-Jan-49,10:59:30 PM,
Sunday,13-Feb-49,10:08:12 AM,
Monday,14-Mar-49,8:02:48 PM,
Wednesday,13-Apr-49,6:08:24 AM,[**]
Thursday,12-May-49,2:50:48 PM,
Friday,10-Jun-49,11:45:12 PM,
Sunday,10-Jul-49,9:41:06 AM,
Monday,8-Aug-49,9:33:12 PM,
Wednesday,7-Sep-49,11:59:18 AM,
Friday,7-Oct-49,3:52:36 AM,[**]
Saturday,5-Nov-49,10:09:00 PM,
Monday,5-Dec-49,4:13:30 PM,
Wednesday,4-Jan-50,8:47:48 AM,
Thursday,2-Feb-50,11:16:06 PM,
Saturday,4-Mar-50,11:33:48 AM,
Sunday,2-Apr-50,9:48:48 PM,[**]
Tuesday,2-May-50,6:19:30 AM,
Wednesday,31-May-50,1:43:00 PM,[+]
Thursday,29-Jun-50,8:58:06 PM,
Saturday,29-Jul-50,5:17:36 AM,
Sunday,27-Aug-50,3:50:54 PM,
Tuesday,26-Sep-50,5:21:24 AM,[**]
Wednesday,25-Oct-50,9:46:24 PM,
Friday,24-Nov-50,4:14:06 PM,
Sunday,24-Dec-50,11:22:54 AM,
Tuesday,23-Jan-51,5:47:00 AM,
Wednesday,21-Feb-51,10:12:12 PM,
Friday,23-Mar-51,11:49:48 AM,[/]
Saturday,21-Apr-51,10:29:54 PM,
Monday,21-May-51,6:44:42 AM,
Tuesday,19-Jun-51,1:35:54 PM,
Wednesday,18-Jul-51,8:17:24 PM,
Friday,17-Aug-51,3:59:24 AM,[/]
Saturday,15-Sep-51,1:38:24 PM,[/]
Monday,15-Oct-51,1:50:54 AM,
Tuesday,13-Nov-51,4:52:06 PM,
Thursday,13-Dec-51,10:30:24 AM,
Saturday,12-Jan-52,5:55:00 AM,
Monday,11-Feb-52,1:28:12 AM,[*]
Tuesday,11-Mar-52,7:13:54 PM,
Thursday,10-Apr-52,9:53:12 AM,
Friday,9-May-52,9:15:48 PM,
Sunday,8-Jun-52,6:06:54 AM,
Monday,7-Jul-52,1:33:30 PM,
Tuesday,5-Aug-52,8:40:00 PM,[*]
Thursday,4-Sep-52,4:19:18 AM,
Friday,3-Oct-52,1:15:12 PM,
Sunday,2-Nov-52,12:09:42 AM,
Monday,1-Dec-52,1:41:24 PM,
Wednesday,31-Dec-52,6:05:36 AM,
Friday,30-Jan-53,12:44:12 AM,[**]
Saturday,28-Feb-53,7:58:42 PM,
Monday,30-Mar-53,1:54:54 PM,
Wednesday,29-Apr-53,5:20:24 AM,
Thursday,28-May-53,6:02:54 PM,
Saturday,27-Jun-53,4:29:18 AM,
Sunday,26-Jul-53,1:20:36 PM,[**]
Monday,24-Aug-53,9:20:42 PM,
Wednesday,23-Sep-53,5:15:36 AM,
Thursday,22-Oct-53,1:55:42 PM,
Saturday,21-Nov-53,12:12:06 AM,
Sunday,20-Dec-53,12:43:30 PM,
Tuesday,19-Jan-54,3:36:48 AM,[**]
Wednesday,17-Feb-54,8:17:18 PM,
Friday,19-Mar-54,1:42:24 PM,
Sunday,18-Apr-54,6:48:30 AM,
Monday,17-May-54,10:46:54 PM,
Wednesday,16-Jun-54,1:05:42 PM,
Friday,16-Jul-54,1:29:00 AM,[*]
Saturday,14-Aug-54,12:03:00 PM,
Sunday,12-Sep-54,9:19:24 PM,
Tuesday,12-Oct-54,6:09:48 AM,
Wednesday,10-Nov-54,3:29:06 PM,
Friday,10-Dec-54,1:56:36 AM,
Saturday,8-Jan-55,1:44:06 PM,[/]
Monday,7-Feb-55,2:42:42 AM,
Tuesday,8-Mar-55,4:41:12 PM,
Thursday,7-Apr-55,7:34:48 AM,
Friday,6-May-55,11:14:00 PM,
Sunday,5-Jun-55,3:08:24 PM,[/]
Tuesday,5-Jul-55,6:28:36 AM,
Wednesday,3-Aug-55,8:30:06 PM,
Friday,2-Sep-55,8:59:18 AM,
Saturday,1-Oct-55,8:17:24 PM,
Monday,31-Oct-55,7:03:48 AM,
Tuesday,29-Nov-55,5:49:48 PM,[*]
Thursday,29-Dec-55,4:43:54 AM,
Friday,27-Jan-56,3:40:18 PM,
Sunday,26-Feb-56,2:41:36 AM,
Monday,26-Mar-56,2:11:06 PM,
Wednesday,25-Apr-56,2:40:30 AM,
Thursday,24-May-56,4:25:48 PM,[*]
Saturday,23-Jun-56,7:13:30 AM,
Sunday,22-Jul-56,10:29:00 PM,
Tuesday,21-Aug-56,1:37:48 PM,
Thursday,20-Sep-56,4:19:24 AM,
Friday,19-Oct-56,6:24:36 PM,
Sunday,18-Nov-56,7:44:36 AM,[**]
Monday,17-Dec-56,8:06:18 PM,
Wednesday,16-Jan-57,7:21:24 AM,
Thursday,14-Feb-57,5:37:48 PM,
Saturday,16-Mar-57,3:21:48 AM,
Sunday,14-Apr-57,1:09:18 PM,
Monday,13-May-57,11:34:18 PM,[**]
Wednesday,12-Jun-57,11:01:54 AM,
Thursday,11-Jul-57,11:49:42 PM,
Saturday,10-Aug-57,2:08:12 PM,
Monday,9-Sep-57,5:55:06 AM,
Tuesday,8-Oct-57,10:42:12 PM,
Thursday,7-Nov-57,3:32:00 PM,[**]
Saturday,7-Dec-57,7:15:54 AM,
Sunday,5-Jan-58,9:08:48 PM,
Tuesday,4-Feb-58,9:05:30 AM,
Wednesday,5-Mar-58,7:27:54 PM,
Friday,4-Apr-58,4:44:48 AM,[/]
Saturday,3-May-58,1:23:18 PM,[*]
Sunday,1-Jun-58,9:55:06 PM,
Tuesday,1-Jul-58,7:04:30 AM,
Wednesday,30-Jul-58,5:46:48 PM,[+]
Friday,29-Aug-58,6:53:24 AM,
Saturday,27-Sep-58,10:43:42 PM,
Monday,27-Oct-58,4:41:00 PM,[/]
Wednesday,26-Nov-58,11:16:42 AM,
Friday,26-Dec-58,4:54:06 AM,
Saturday,24-Jan-59,8:32:30 PM,
Monday,23-Feb-59,9:53:48 AM,
Tuesday,24-Mar-59,9:02:24 PM,[*]
Thursday,23-Apr-59,6:13:18 AM,
Friday,22-May-59,1:55:48 PM,
Saturday,20-Jun-59,8:59:42 PM,
Monday,20-Jul-59,4:33:12 AM,
Tuesday,18-Aug-59,1:50:30 PM,
Thursday,17-Sep-59,1:51:36 AM,[/]
Friday,16-Oct-59,4:58:30 PM,
Sunday,15-Nov-59,10:41:48 AM,
Tuesday,15-Dec-59,5:48:48 AM,
Thursday,14-Jan-60,12:50:36 AM,
Friday,12-Feb-60,6:23:54 PM,
Sunday,13-Mar-60,9:25:48 AM,[**]
Monday,11-Apr-60,9:27:18 PM,
Wednesday,11-May-60,6:42:18 AM,
Thursday,9-Jun-60,2:01:48 PM,
Friday,8-Jul-60,8:36:36 PM,
Sunday,7-Aug-60,3:40:54 AM,
Monday,5-Sep-60,12:18:42 PM,[**]
Tuesday,4-Oct-60,11:16:06 PM,
Thursday,3-Nov-60,12:57:36 PM,
Saturday,3-Dec-60,5:24:24 AM,
Monday,2-Jan-61,12:05:54 AM,
Tuesday,31-Jan-61,7:46:42 PM,
Thursday,2-Mar-61,2:34:36 PM,[*]
Saturday,1-Apr-61,6:47:06 AM,
Sunday,30-Apr-61,7:40:30 PM,[+]
Tuesday,30-May-61,5:37:00 AM,
Wednesday,28-Jun-61,1:37:30 PM,
Thursday,27-Jul-61,8:50:06 PM,
Saturday,26-Aug-61,4:13:18 AM,[*]
Sunday,24-Sep-61,12:33:24 PM,
Monday,23-Oct-61,10:30:30 PM,
Wednesday,22-Nov-61,10:43:42 AM,
Friday,22-Dec-61,1:41:48 AM,
Saturday,20-Jan-62,7:16:18 PM,
Monday,19-Feb-62,2:17:54 PM,[/]
Wednesday,21-Mar-62,8:55:24 AM,
Friday,20-Apr-62,1:33:18 AM,
Saturday,19-May-62,3:31:48 PM,
Monday,18-Jun-62,3:02:12 AM,
Tuesday,17-Jul-62,12:40:30 PM,[/]
Wednesday,15-Aug-62,9:09:12 PM,[/]
Friday,14-Sep-62,5:11:18 AM,
Saturday,13-Oct-62,1:32:54 PM,
Sunday,11-Nov-62,11:03:24 PM,
Tuesday,11-Dec-62,10:27:24 AM,
Thursday,10-Jan-63,12:08:06 AM,[/]
Friday,8-Feb-63,3:51:36 PM,
Sunday,10-Mar-63,8:48:36 AM,
Tuesday,9-Apr-63,1:56:42 AM,
Wednesday,8-May-63,6:23:12 PM,
Friday,7-Jun-63,9:30:36 AM,
Saturday,6-Jul-63,10:55:24 PM,[*]
Monday,5-Aug-63,10:30:48 AM,
Tuesday,3-Sep-63,8:33:30 PM,
Thursday,3-Oct-63,5:43:54 AM,
Friday,1-Nov-63,2:55:12 PM,
Sunday,1-Dec-63,12:54:00 AM,
Monday,30-Dec-63,12:03:48 PM,[**][+]
Wednesday,29-Jan-64,12:22:42 AM,
Thursday,27-Feb-64,1:39:12 PM,
Saturday,28-Mar-64,3:48:18 AM,
Sunday,26-Apr-64,6:49:30 PM,
Tuesday,26-May-64,10:28:48 AM,
Thursday,25-Jun-64,2:08:00 AM,[**]
Friday,24-Jul-64,4:57:48 PM,
Sunday,23-Aug-64,6:24:54 AM,
Monday,21-Sep-64,6:30:42 PM,
Wednesday,21-Oct-64,5:45:00 AM,
Thursday,19-Nov-64,4:42:42 PM,
Saturday,19-Dec-64,3:41:12 AM,[**]
Sunday,17-Jan-65,2:37:18 PM,
Tuesday,16-Feb-65,1:26:36 AM,
Wednesday,17-Mar-65,12:23:48 PM,
Friday,16-Apr-65,12:02:06 AM,
Saturday,15-May-65,12:51:54 PM,
Monday,14-Jun-65,2:59:18 AM,[*]
Tuesday,13-Jul-65,6:01:24 PM,
Thursday,12-Aug-65,9:22:06 AM,
Saturday,11-Sep-65,12:31:54 AM,
Sunday,10-Oct-65,3:13:36 PM,
Tuesday,9-Nov-65,5:15:12 AM,
Wednesday,8-Dec-65,6:21:06 PM,[/]
Friday,7-Jan-66,6:16:06 AM,
Saturday,5-Feb-66,4:57:54 PM,
Monday,7-Mar-66,2:45:12 AM,
Tuesday,5-Apr-66,12:13:06 PM,
Wednesday,4-May-66,10:00:30 PM,[/]
Friday,3-Jun-66,8:40:12 AM,
Saturday,2-Jul-66,8:36:18 PM,
Monday,1-Aug-66,10:05:12 AM,
Wednesday,31-Aug-66,1:13:36 AM,[+]
Thursday,29-Sep-66,5:47:18 PM,
Saturday,29-Oct-66,11:00:00 AM,[/]
Monday,28-Nov-66,3:40:24 AM,
Tuesday,27-Dec-66,6:43:06 PM,
Thursday,26-Jan-67,7:40:24 AM,
Friday,24-Feb-67,6:43:18 PM,
Sunday,26-Mar-67,4:20:48 AM,
Monday,24-Apr-67,1:03:24 PM,[**]
Tuesday,23-May-67,9:22:18 PM,
Thursday,22-Jun-67,5:56:48 AM,
Friday,21-Jul-67,3:39:06 PM,
Sunday,20-Aug-67,3:26:42 AM,
Monday,18-Sep-67,5:59:24 PM,
Wednesday,18-Oct-67,11:10:48 AM,[**]
Friday,17-Nov-67,5:52:30 AM,
Sunday,17-Dec-67,12:21:18 AM,
Monday,15-Jan-68,5:11:12 PM,
Wednesday,14-Feb-68,7:42:54 AM,
Thursday,14-Mar-68,7:52:18 PM,
Saturday,13-Apr-68,5:51:42 AM,[**]
Sunday,12-May-68,2:04:48 PM,
Monday,10-Jun-68,9:13:00 PM,
Wednesday,10-Jul-68,4:17:36 AM,
Thursday,8-Aug-68,12:32:18 PM,
Friday,6-Sep-68,11:07:12 PM,
Sunday,6-Oct-68,12:46:06 PM,[**]
Tuesday,5-Nov-68,5:24:36 AM,
Thursday,5-Dec-68,12:07:18 AM,
Friday,3-Jan-69,7:27:36 PM,
Sunday,2-Feb-69,1:55:48 PM,
Tuesday,4-Mar-69,6:17:00 AM,
Wednesday,2-Apr-69,7:44:54 PM,[/]
Friday,2-May-69,6:13:24 AM,
Saturday,31-May-69,2:18:12 PM,[+]
Sunday,29-Jun-69,9:03:42 PM,
Tuesday,29-Jul-69,3:45:00 AM,
Wednesday,27-Aug-69,11:32:24 AM,[/]
Thursday,25-Sep-69,9:20:48 PM,[/]
Saturday,25-Oct-69,9:44:12 AM,
Monday,24-Nov-69,12:53:42 AM,
Tuesday,23-Dec-69,6:34:54 PM,
Thursday,22-Jan-70,1:55:18 PM,
Saturday,21-Feb-70,9:18:42 AM,[*]
Monday,23-Mar-70,2:52:24 AM,
Tuesday,21-Apr-70,5:21:18 PM,
Thursday,21-May-70,4:37:36 AM,
Friday,19-Jun-70,1:27:24 PM,
Saturday,18-Jul-70,8:58:30 PM,
Monday,17-Aug-70,4:15:18 AM,[*]
Tuesday,15-Sep-70,12:09:24 PM,
Wednesday,14-Oct-70,9:21:12 PM,
Friday,13-Nov-70,8:27:54 AM,
Saturday,12-Dec-70,10:03:18 PM,
Monday,11-Jan-71,2:20:18 PM,
Wednesday,10-Feb-71,8:41:24 AM,[**]
Friday,12-Mar-71,3:33:36 AM,
Saturday,10-Apr-71,9:10:00 PM,
Monday,10-May-71,12:23:30 PM,
Wednesday,9-Jun-71,1:03:36 AM,
Thursday,8-Jul-71,11:36:36 AM,
Friday,6-Aug-71,8:42:18 PM,[**]
Sunday,5-Sep-71,5:02:24 AM,
Monday,4-Oct-71,1:19:30 PM,
Tuesday,2-Nov-71,10:19:24 PM,
Thursday,2-Dec-71,8:48:06 AM,
Friday,31-Dec-71,9:19:30 PM,[+]
Sunday,30-Jan-72,11:58:12 AM,[**]
Tuesday,29-Feb-72,4:11:54 AM,
Wednesday,29-Mar-72,9:05:30 PM,
Friday,28-Apr-72,1:44:30 PM,
Sunday,28-May-72,5:27:36 AM,
Monday,26-Jun-72,7:46:12 PM,
Wednesday,26-Jul-72,8:23:30 AM,[*]
Thursday,24-Aug-72,7:21:42 PM,
Saturday,23-Sep-72,5:06:42 AM,
Sunday,22-Oct-72,2:25:00 PM,
Tuesday,21-Nov-72,12:06:30 AM,
Wednesday,20-Dec-72,10:45:06 AM,
Thursday,18-Jan-73,10:28:24 PM,[/]
Saturday,17-Feb-73,11:07:00 AM,
Monday,19-Mar-73,12:33:24 AM,
Tuesday,17-Apr-73,2:50:30 PM,
Thursday,17-May-73,5:58:00 AM,
Friday,15-Jun-73,9:34:36 PM,[/]
Sunday,15-Jul-73,12:55:54 PM,[/]
Tuesday,14-Aug-73,3:16:30 AM,
Wednesday,12-Sep-73,4:16:18 PM,
Friday,12-Oct-73,4:09:00 AM,
Saturday,10-Nov-73,3:26:42 PM,
Monday,10-Dec-73,2:34:36 AM,[*]
Tuesday,8-Jan-74,1:36:18 PM,
Thursday,7-Feb-74,12:24:12 AM,
Friday,8-Mar-74,11:02:54 AM,
Saturday,6-Apr-74,10:00:18 PM,
Monday,6-May-74,9:54:30 AM,
Tuesday,4-Jun-74,11:09:36 PM,[*]
Thursday,4-Jul-74,1:40:18 PM,
Saturday,3-Aug-74,4:57:00 AM,
Sunday,1-Sep-74,8:24:48 PM,
Tuesday,1-Oct-74,11:37:54 AM,
Thursday,31-Oct-74,2:19:00 AM,
Friday,29-Nov-74,4:10:06 PM,[**]
Sunday,29-Dec-74,4:50:48 AM,
Monday,27-Jan-75,4:09:24 PM,
Wednesday,26-Feb-75,2:14:30 AM,
Thursday,27-Mar-75,11:36:00 AM,
Friday,25-Apr-75,8:54:54 PM,
Sunday,25-May-75,6:50:36 AM,[**]
Monday,23-Jun-75,5:54:12 PM,
Wednesday,23-Jul-75,6:28:24 AM,
Thursday,21-Aug-75,8:47:36 PM,
Saturday,20-Sep-75,12:50:24 PM,
Monday,20-Oct-75,6:05:42 AM,
Tuesday,18-Nov-75,11:28:12 PM,[**]
Thursday,18-Dec-75,3:39:30 PM,
Saturday,17-Jan-76,5:46:54 AM,
Sunday,15-Feb-76,5:43:18 PM,
Tuesday,16-Mar-76,3:52:42 AM,
Wednesday,14-Apr-76,12:48:42 PM,
Thursday,13-May-76,9:04:00 PM,[*]
Saturday,12-Jun-76,5:15:00 AM,
Sunday,11-Jul-76,2:08:54 PM,
Tuesday,10-Aug-76,12:43:30 AM,
Wednesday,8-Sep-76,1:52:00 PM,
Friday,8-Oct-76,5:55:24 AM,
Sunday,7-Nov-76,12:14:36 AM,[/]
Monday,6-Dec-76,7:14:30 PM,
Wednesday,5-Jan-77,1:10:24 PM,
Friday,4-Feb-77,4:56:12 AM,
Saturday,5-Mar-77,6:13:12 PM,
Monday,4-Apr-77,5:08:54 AM,[*]
Tuesday,3-May-77,2:03:24 PM,
Wednesday,1-Jun-77,9:30:54 PM,
Friday,1-Jul-77,4:24:00 AM,
Saturday,30-Jul-77,11:52:12 AM,[+]
Sunday,28-Aug-77,9:10:00 PM,
Tuesday,27-Sep-77,9:17:24 AM,[/]
Thursday,27-Oct-77,12:35:24 AM,
Friday,25-Nov-77,6:31:24 PM,
Sunday,25-Dec-77,1:49:00 PM,
Tuesday,24-Jan-78,8:55:30 AM,
Thursday,23-Feb-78,2:26:18 AM,
Friday,24-Mar-78,5:20:00 PM,[**]
Sunday,23-Apr-78,5:11:00 AM,
Monday,22-May-78,2:16:42 PM,
Tuesday,20-Jun-78,9:30:30 PM,
Thursday,20-Jul-78,4:04:48 AM,
Friday,18-Aug-78,11:14:00 AM,
Saturday,16-Sep-78,8:01:06 PM,[**]
Monday,16-Oct-78,7:09:30 AM,
Tuesday,14-Nov-78,9:00:06 PM,
Thursday,14-Dec-78,1:30:36 PM,
Saturday,13-Jan-79,8:08:36 AM,
Monday,12-Feb-79,3:39:24 AM,
Tuesday,13-Mar-79,10:14:18 PM,[*]
Thursday,12-Apr-79,2:15:00 PM,
Saturday,12-May-79,3:00:54 AM,
Sunday,10-Jun-79,12:55:18 PM,
Monday,9-Jul-79,8:59:18 PM,
Wednesday,8-Aug-79,4:21:06 AM,
Thursday,6-Sep-79,11:58:36 AM,[**]
Friday,5-Oct-79,8:35:18 PM,
Sunday,4-Nov-79,6:47:06 AM,
Monday,3-Dec-79,7:07:42 PM,
Wednesday,2-Jan-80,10:02:06 AM,
Friday,1-Feb-80,3:21:12 AM,
Saturday,1-Mar-80,9:59:42 PM,[/]
Monday,31-Mar-80,4:13:54 PM,[+]
Wednesday,30-Apr-80,9:35:18 AM,
Thursday,29-May-80,11:27:36 PM,
Saturday,28-Jun-80,11:02:06 AM,
Sunday,27-Jul-80,8:53:36 PM,[/]
Tuesday,26-Aug-80,5:42:12 AM,[/]
Wednesday,24-Sep-80,2:07:42 PM,
Thursday,23-Oct-80,9:51:54 PM,
Saturday,22-Nov-80,7:38:54 AM,
Sunday,21-Dec-80,7:08:00 PM,
Tuesday,20-Jan-81,8:39:00 AM,[/]
Wednesday,18-Feb-81,11:58:12 PM,
Friday,20-Mar-81,4:22:30 PM,
Sunday,19-Apr-81,9:58:54 AM,
Tuesday,19-May-81,2:03:36 AM,
Wednesday,17-Jun-81,5:04:30 PM,
Friday,17-Jul-81,6:38:48 AM,[*]
Saturday,15-Aug-81,6:36:36 PM,
Monday,14-Sep-81,5:08:42 AM,
Tuesday,13-Oct-81,1:49:24 PM,
Wednesday,11-Nov-81,11:26:30 PM,
Friday,11-Dec-81,9:41:24 AM,
Saturday,9-Jan-82,8:52:48 PM,[**]
Monday,8-Feb-82,8:57:06 AM,
Tuesday,9-Mar-82,9:45:06 PM,
Thursday,8-Apr-82,12:18:18 PM,
Saturday,8-May-82,2:44:42 AM,
Sunday,6-Jun-82,5:59:24 PM,
Tuesday,6-Jul-82,9:31:36 AM,[**]
Thursday,5-Aug-82,12:33:48 AM,
Friday,3-Sep-82,2:28:12 PM,
Sunday,3-Oct-82,2:08:30 AM,
Monday,1-Nov-82,1:56:42 PM,
Wednesday,1-Dec-82,1:20:42 AM,
Thursday,30-Dec-82,12:32:36 PM,[**][+]
Friday,28-Jan-83,11:26:18 PM,
Sunday,27-Feb-83,9:58:06 AM,
Monday,28-Mar-83,9:26:42 PM,
Wednesday,27-Apr-83,8:30:42 AM,
Thursday,26-May-83,8:47:42 PM,
Saturday,25-Jun-83,10:31:48 AM,[*]
Monday,25-Jul-83,1:26:54 AM,
Tuesday,23-Aug-83,4:59:18 PM,
Thursday,22-Sep-83,8:36:12 AM,
Friday,21-Oct-83,10:53:18 PM,
Sunday,20-Nov-83,1:29:24 PM,
Tuesday,20-Dec-83,3:00:18 AM,[/]
Wednesday,18-Jan-84,3:05:12 PM,
Friday,17-Feb-84,1:41:06 AM,
Saturday,17-Mar-84,11:09:42 AM,
Sunday,15-Apr-84,9:10:48 PM,
Tuesday,15-May-84,6:28:36 AM,[/]
Wednesday,13-Jun-84,4:41:48 PM,[/]
Friday,13-Jul-84,4:19:42 AM,
Saturday,11-Aug-84,5:43:12 PM,
Monday,10-Sep-84,9:01:00 AM,
Wednesday,10-Oct-84,12:58:06 AM,
Thursday,8-Nov-84,6:42:36 PM,[/]
Saturday,8-Dec-84,11:53:24 AM,
Monday,7-Jan-85,3:16:06 AM,
Tuesday,5-Feb-85,4:18:48 PM,
Thursday,7-Mar-85,3:13:06 AM,
Friday,5-Apr-85,1:32:24 PM,
Saturday,4-May-85,9:52:48 PM,[**]
Monday,3-Jun-85,5:50:24 AM,
Tuesday,2-Jul-85,2:08:18 PM,
Wednesday,31-Jul-85,11:40:54 PM,[+]
Friday,30-Aug-85,11:27:12 AM,
Sunday,29-Sep-85,2:08:30 AM,
Monday,28-Oct-85,6:37:30 PM,[**]
Wednesday,27-Nov-85,1:41:42 PM,
Friday,27-Dec-85,8:30:18 AM,
Sunday,26-Jan-86,1:31:00 AM,
Monday,24-Feb-86,4:02:12 PM,
Wednesday,26-Mar-86,4:01:48 AM,
Thursday,24-Apr-86,2:46:24 PM,[**]
Friday,23-May-86,10:44:42 PM,
Sunday,22-Jun-86,5:41:48 AM,
Monday,21-Jul-86,12:40:12 PM,
Tuesday,19-Aug-86,8:54:12 PM,
Thursday,18-Sep-86,7:33:42 AM,
Friday,17-Oct-86,8:21:36 PM,[**]
Sunday,16-Nov-86,1:11:36 PM,
Tuesday,16-Dec-86,8:04:24 AM,
Thursday,15-Jan-87,3:30:24 AM,
Friday,13-Feb-87,9:57:54 PM,
Sunday,15-Mar-87,2:12:42 PM,
Tuesday,14-Apr-87,4:31:00 AM,[/]
Wednesday,13-May-87,2:50:12 PM,
Thursday,11-Jun-87,10:48:48 PM,
Saturday,11-Jul-87,5:32:36 AM,
Sunday,9-Aug-87,12:17:18 PM,
Monday,7-Sep-87,8:12:54 PM,
Wednesday,7-Oct-87,5:12:18 AM,[/]
Thursday,5-Nov-87,5:45:54 PM,
Saturday,5-Dec-87,9:01:00 AM,
Monday,4-Jan-88,2:40:24 AM,
Tuesday,2-Feb-88,9:51:30 PM,
Thursday,3-Mar-88,5:01:06 PM,[/]
Saturday,2-Apr-88,11:21:18 AM,
Monday,2-May-88,1:40:48 AM,
Tuesday,31-May-88,12:53:30 PM,[+]
Wednesday,29-Jun-88,9:45:48 PM,
Friday,29-Jul-88,5:25:12 AM,
Saturday,27-Aug-88,12:55:48 PM,[*]
Sunday,25-Sep-88,8:07:06 PM,
Tuesday,25-Oct-88,5:35:30 AM,
Wednesday,23-Nov-88,4:53:06 PM,
Friday,23-Dec-88,6:28:54 AM,
Saturday,21-Jan-89,10:33:30 PM,
Monday,20-Feb-89,4:31:54 PM,[**]
Wednesday,22-Mar-89,10:57:54 AM,
Friday,21-Apr-89,5:13:18 AM,
Saturday,20-May-89,8:16:18 PM,
Monday,19-Jun-89,8:57:18 AM,
Tuesday,18-Jul-89,7:41:36 PM,
Thursday,17-Aug-89,5:06:36 AM,[**]
Friday,15-Sep-89,1:50:36 PM,
Saturday,14-Oct-89,9:31:54 PM,
Monday,13-Nov-89,6:51:24 AM,
Tuesday,12-Dec-89,5:29:54 PM,
Thursday,11-Jan-90,5:56:48 AM,
Friday,9-Feb-90,8:15:42 PM,[**]
Sunday,11-Mar-90,11:58:30 AM,
Tuesday,10-Apr-90,5:18:30 AM,
Wednesday,9-May-90,9:30:48 PM,
Friday,8-Jun-90,1:01:06 PM,
Sunday,8-Jul-90,3:23:30 AM,
Monday,6-Aug-90,4:19:24 PM,[*]
Wednesday,5-Sep-90,3:45:36 AM,
Thursday,4-Oct-90,1:01:48 PM,
Friday,2-Nov-90,10:48:18 PM,
Sunday,2-Dec-90,8:49:42 AM,
Monday,31-Dec-90,7:35:12 PM,[+]
Wednesday,30-Jan-91,7:09:42 AM,[/]
Thursday,28-Feb-91,7:24:36 PM,
Saturday,30-Mar-91,8:17:24 AM,
Sunday,28-Apr-91,10:58:30 PM,
Tuesday,28-May-91,1:36:36 PM,
Thursday,27-Jun-91,4:58:24 AM,[/]
Friday,26-Jul-91,8:24:24 PM,[/]
Sunday,25-Aug-91,11:07:12 AM,
Wednesday,25-Sep-91,12:40:00 AM,
Wednesday,23-Oct-91,12:08:12 PM,
Thursday,21-Nov-91,11:56:18 PM,
Saturday,21-Dec-91,11:23:12 AM,[*]
Sunday,19-Jan-92,10:28:30 PM,
Tuesday,18-Feb-92,9:04:06 AM,
Wednesday,18-Mar-92,7:17:48 PM,
Friday,17-Apr-92,6:42:30 AM,
Saturday,16-May-92,6:02:36 PM,
Monday,15-Jun-92,6:49:42 AM,[*]
Tuesday,14-Jul-92,9:06:18 PM,
Thursday,13-Aug-92,12:27:12 PM,
Saturday,12-Sep-92,4:16:36 AM,
Sunday,11-Oct-92,7:03:00 PM,
Tuesday,10-Nov-92,10:20:06 AM,
Thursday,10-Dec-92,12:40:42 AM,[**]
Friday,8-Jan-93,1:37:12 PM,
Sunday,7-Feb-93,12:55:24 AM,
Monday,8-Mar-93,10:45:54 AM,
Tuesday,6-Apr-93,8:43:18 PM,
Thursday,6-May-93,5:33:42 AM,
Friday,4-Jun-93,3:02:12 PM,[**]
Sunday,4-Jul-93,1:45:06 AM,
Monday,2-Aug-93,2:09:36 PM,
Wednesday,1-Sep-93,4:32:54 AM,
Thursday,30-Sep-93,7:53:48 PM,[+]
Saturday,30-Oct-93,1:37:36 PM,
Monday,29-Nov-93,7:30:48 AM,[**]
Wednesday,29-Dec-93,12:05:24 AM,
Thursday,27-Jan-94,2:22:48 PM,
Saturday,26-Feb-94,2:15:00 AM,
Sunday,27-Mar-94,1:09:30 PM,
Monday,25-Apr-94,9:45:00 PM,
Wednesday,25-May-94,5:39:24 AM,[*]
Thursday,23-Jun-94,1:33:06 PM,
Friday,22-Jul-94,10:15:54 PM,
Sunday,21-Aug-94,8:46:54 AM,
Monday,19-Sep-94,10:00:30 PM,
Wednesday,19-Oct-94,1:17:48 PM,
Friday,18-Nov-94,7:57:00 AM,[/]
Sunday,18-Dec-94,3:17:06 AM,
Monday,16-Jan-95,9:26:18 PM,
Wednesday,15-Feb-95,1:15:24 PM,
Friday,17-Mar-95,2:25:36 AM,
Saturday,15-Apr-95,2:08:12 PM,[*]
Sunday,14-May-95,10:48:06 PM,
Tuesday,13-Jun-95,6:03:30 AM,
Wednesday,12-Jul-95,12:49:18 PM,
Thursday,10-Aug-95,8:15:30 PM,
Saturday,9-Sep-95,5:36:36 AM,
Sunday,8-Oct-95,4:51:48 PM,[/]
Tuesday,7-Nov-95,8:20:30 AM,
Thursday,7-Dec-95,2:26:54 AM,
Friday,5-Jan-96,9:50:54 PM,
Sunday,4-Feb-96,4:57:36 PM,
Tuesday,5-Mar-96,10:22:42 AM,
Thursday,4-Apr-96,2:06:54 AM,[**]
